id,url,parent_id, Status Code, Status, Indexability, Indexability Status, Title 1, Word Count, Hash, Response Time, Last Modified, Redirect URL, Redirect Type
oc54,/contact/connect,,200, OK, Indexable,,"Orange County,  California - Connect with OC ",322, 2f73382715a0977648b3f9049acfe3e2,0.899,,, 
oc55,/contact/social,,200, OK, Indexable,,"Orange County,  California - Social Media Disclaimer ",633, b52b85b12ea789fd0e993d364e9c0a19,1.499,,, 
oc56,/about/infooc/census2020/resources_n_toolkit,,200, OK, Indexable,,"Orange County,  California - Resources & Toolkit ",272, 64209aa58c9c325c21f55b3cd911f582,0.806,,, 
oc57,/about/emergency,,200, OK, Indexable,,"Orange County,  California - Emergency ",462, f72ca6d6a2b2abd67fb477bb51557a8c,0.985,,, 
oc58,/residents/voting/register,,200, OK, Indexable,,"Orange County,  California - Register to Vote ",501, 9a42b0b08f342ff1ca12d02353ca6ea4,1.458,,, 
oc59,/residents/education,,200, OK, Indexable,,"Orange County,  California - Education ",275, 40976a54ad0eb980a89efd3de1e8e996,1.676,,, 
oc60,/services/animal/parks,,200, OK, Indexable,,"Orange County,  California - Pet Friendly Parks ",302, 9c1804b7c090ba8a7f048705060c5fdb,1.437,,, 
oc61,/news/displaynews?NewsID=5619,,200, OK, Indexable,,"Orange County,  California - News Details ",524, 80beb278ad337c9f31f8550871e9749c,1.29,,, 
oc62,/about/infooc/census2020/structure_n_governance_,,200, OK, Indexable,,"Orange County,  California - Structure & Governance ",215, 526451e11f92730a6d94dbeb6878f6c4,0.867,,, 
oc63,/about/infooc/census2020,,200, OK, Indexable,,"Orange County,  California - Census 2020 ",462, 32b9a8f540c5137be8190f7a21eb4966,0.864,,, 
oc64,/residents/law/inmates,,200, OK, Indexable,,"Orange County,  California - Inmate Information ",314, a371d2e67a34602f205ba271c8681405,1.301,,, 
oc65,/about/emergency/assistance/shelters,,200, OK, Indexable,,"Orange County,  California - Shelters ",357, a134054345ce399f6b80654b3afea86,1.901,,, 
oc66,/howdoi/payformain,,200, OK, Indexable,,"Orange County,  California - Pay for (main) ",237, 796f3e0cf5eb7e6b244804b286e2f8f1,0.495,,, 
oc67,/news/displaynews?NewsID=5689,,200, OK, Indexable,,"Orange County,  California - News Details ",504, 2a3355387b85625b4f2a86844ea3ba66,1.704,,, 
oc68,/residents/health/abuse,,200, OK, Indexable,,"Orange County,  California - Abuse Information & Services ",385, 67e1c0d864dd3c2fe8c75710ccf8e41c,2.1,,, 
oc69,/residents/health/seniors,,200, OK, Indexable,,"Orange County,  California - Care for Seniors & Disabled ",369, d809079a91048d954aa581d66d57a88,1.558,,, 
oc70,/about/buildingmap,,200, OK, Indexable,,"Orange County,  California - County Facilities Map ",684, 68d15ffac5d125cdc819a34cce60d3d4,9.752,,, 
oc71,/residents/gov/info,,200, OK, Indexable,,"Orange County,  California - General Information ",304, e88939edb1b7144a03d1cfaa2e818a44,1.992,,, 
oc72,/business/startup,,200, OK, Indexable,,"Orange County,  California - Starting a Business ",349, cab62f398d373e9efc2e24c9fccb39e2,1.794,,, 
oc73,/residents/taxes/sftax,,200, OK, Indexable,,"Orange County,  California - State & Federal Tax Information ",336, 32b0796500c06c2722710fc977d28793,1.946,,, 
oc74,/residents/communities,,200, OK, Indexable,,"Orange County,  California - Communities & Neighborhoods ",323, 8e92bdeb20fe35c649458f3be0ee3f54,1.557,,, 
oc75,/residents/environment,,200, OK, Indexable,,"Orange County,  California - Protecting Our Environment ",331, a6922ac3939ca7e2b941a9077ccc10b5,1.242,,, 
oc76,/services/homeless,,200, OK, Indexable,,"Orange County,  California - Homeless Services ",534, a3d3bc0d85ad15a6ba72d34b1d41d1f4,2.032,,, 
oc77,/about/emergency/medical,,200, OK, Indexable,,"Orange County,  California - Medical Emergencies ",273, ba0297f20bd558733f52ea806f5ddfee,1.842,,, 
oc78,/services/cert,,200, OK, Indexable,,"Orange County,  California - Certificates,  Registration & Licenses ",265, 5107353eebcf19a63b37ae1b59de7ff5,1.758,,, 
oc79,/residents/law,,200, OK, Indexable,,"Orange County,  California - Law & Justice ",549, bcb89fdda21c6187a4bb7f2ced7c7bab,2.168,,, 
oc80,/about/infooc/photocontest17,,200, OK, Indexable,,"Orange County,  California - Photo Contest ",1135, 76c74f4448632e7aef5cd256ad07ee10,0.454,,, 
oc81,/residents/gov/grandjury,,200, OK, Indexable,,"Orange County,  California - Grand Jury Participation ",495, 8700eaec18938e15523d804d6e210059,2.246,,, 
oc82,/about/infooc/links/ca,,200, OK, Indexable,,"Orange County,  California - State of California Links ",293, 6f56205bd3cdfa921ed6da26bfe70442,1.428,,, 
oc83,/about/emergency/wastes,,200, OK, Indexable,,"Orange County,  California - Handling Hazardous Wastes & Materials ",382, 504358403991e60e245af57173dd7d8f,1.073,,, 
